dataset,budget_fraction,strategy,mean,std
nomao,0.5,prototype,0.9879449243534738,0.0012650076732344689
nomao,0.5,random,0.9912733219904458,0.00045925522628265835
nomao,0.5,stratified,0.9910771713797822,0.001089015213741525
nomao,0.5,stratified_coreset,0.9917525720561473,0.0006202137639844045
nomao,1.0,coreset,0.9929904069535972,0.0007053294298667556
nomao,1.0,prototype,0.9914581269630534,0.00032344867947775954
nomao,1.0,random,0.9922484409030468,0.0007590537588678858
nomao,1.0,stratified,0.9924788733905181,0.0010676937901852527
nomao,1.0,stratified_coreset,0.9926686291870046,0.0007967598878716216
numerai28.6,0.1,coreset,0.5067746577469819,0.006917466982527217
numerai28.6,0.1,prototype,0.5030847836501996,0.0037578970995145785
numerai28.6,0.1,random,0.5024119908809337,0.012884831516884396
numerai28.6,0.1,stratified,0.509493941864752,0.007787732591628841
numerai28.6,0.1,stratified_coreset,0.5034925927588327,0.00860111792943241
numerai28.6,0.25,coreset,0.5081525767827049,0.005224467124418162
numerai28.6,0.25,prototype,0.5052348512015059,0.00893212909541402
numerai28.6,0.25,random,0.5092616317380888,0.003183500533763889
numerai28.6,0.25,stratified,0.5143329702540627,0.0069526615310623275
numerai28.6,0.25,stratified_coreset,0.4956668263239352,0.004878295462875236
numerai28.6,0.5,coreset,0.5147110961521598,0.007993855849029462
numerai28.6,0.5,prototype,0.5085866287297633,0.004622072419289666
numerai28.6,0.5,random,0.5142016010451691,0.008999558454815745
numerai28.6,0.5,stratified,0.5156820061657869,0.0033209789552413774
numerai28.6,0.5,stratified_coreset,0.4996213690472761,0.007420680873797805
numerai28.6,1.0,coreset,0.5124279542075272,0.009485835787666149
numerai28.6,1.0,prototype,0.5060515495355977,0.011777067789867007
numerai28.6,1.0,random,0.5155933765796108,0.00445587273842051
numerai28.6,1.0,stratified,0.5135420547086373,0.0038851460657263253
numerai28.6,1.0,stratified_coreset,0.503974579890561,0.006037736843508945
volkert,0.1,coreset,0.8398470847282989,0.003033429994106365
volkert,0.1,prototype,0.8109310943039065,0.015989149996913393
volkert,0.1,random,0.8687379478701689,0.0065842305673186165
volkert,0.1,stratified,0.8690505297965405,0.004085786737414986
volkert,0.1,stratified_coreset,0.7698409538768121,0.0072148145340802045
volkert,0.25,coreset,0.8601404967620676,0.0011897159845202585
volkert,0.25,prototype,0.8490923451181513,0.004228399391936424
volkert,0.25,random,0.8898749285019779,0.0027288166749226367
volkert,0.25,stratified,0.8910916619612852,0.003023109467728356
volkert,0.25,stratified_coreset,0.832130061112629,0.005893588374360066
volkert,0.5,coreset,0.8757187409989501,0.0034908089734576693
volkert,0.5,prototype,0.8722018138725481,0.003907687240035344
volkert,0.5,random,0.9029995891846786,0.0018719256940495318
volkert,0.5,stratified,0.9028347877944245,0.0031313324990307092
volkert,0.5,stratified_coreset,0.8650759400051156,0.0009760211029290247
volkert,1.0,coreset,0.8879358691920332,0.0032163182520526163
volkert,1.0,prototype,0.9018600523537595,0.0032378588493787754
volkert,1.0,random,0.9114294765214055,0.00329242613050812
volkert,1.0,stratified,0.910727076432978,0.0015319762128261
volkert,1.0,stratified_coreset,0.8891462837463608,0.0032002753167384578
