dataset,strategy,seed,accuracy,log_loss,macro_f1,balanced_acc,mcc,pr_auc,macro_auc,top2_accuracy,n_classes
phoneme,coreset,3,0.8889916743755781,0.2507253464820828,0.8640525177322802,0.8587130658827027,0.7286566835118845,0.909619260617913,0.9541224172956546,,2
phoneme,prototype,3,0.8889916743755781,0.2507253464820828,0.8640525177322802,0.8587130658827027,0.7286566835118845,0.909619260617913,0.9541224172956546,,2
phoneme,stratified_coreset,3,0.8889916743755781,0.2507253464820828,0.8640525177322802,0.8587130658827027,0.7286566835118845,0.909619260617913,0.9541224172956546,,2
phoneme,random,4,0.902867715078631,0.2534539093937459,0.88046279397222,0.873144003831734,0.7619072205162346,0.9074768813049437,0.9551835763951971,,2
phoneme,stratified,4,0.902867715078631,0.2534539093937459,0.88046279397222,0.873144003831734,0.7619072205162346,0.9074768813049437,0.9551835763951971,,2
phoneme,coreset,4,0.902867715078631,0.2534539093937459,0.88046279397222,0.873144003831734,0.7619072205162346,0.9074768813049437,0.9551835763951971,,2
phoneme,prototype,4,0.902867715078631,0.2534539093937459,0.88046279397222,0.873144003831734,0.7619072205162346,0.9074768813049437,0.9551835763951971,,2
phoneme,stratified_coreset,4,0.902867715078631,0.2534539093937459,0.88046279397222,0.873144003831734,0.7619072205162346,0.9074768813049437,0.9551835763951971,,2
bank-marketing,random,1,0.9097644586973349,0.20568011300908248,0.7609440882135923,0.7389983345426739,0.5264707217137088,0.6196127864849447,0.9285499868018129,,2
bank-marketing,stratified,1,0.9067787238748203,0.2030438390528204,0.7446097516222514,0.7172190176997749,0.4976731973824585,0.6213664044878244,0.9308132687352113,,2
bank-marketing,coreset,1,0.9069998894172288,0.20409858619647228,0.7373184431831625,0.7050450809824186,0.4878450061763843,0.625246475026276,0.9272977570184171,,2
bank-marketing,prototype,1,0.900807254229791,0.20893339176925513,0.7533561168683145,0.7466354684409449,0.5070995878806155,0.6101414027929764,0.9254939258747201,,2
bank-marketing,stratified_coreset,1,0.8910759703638174,0.264345835733028,0.5661207858536561,0.5521278673505261,0.2549631465052748,0.5571874179080174,0.9008336756181544,,2
bank-marketing,random,2,0.9106491208669689,0.20256106504367877,0.7500074586401297,0.7177707374294666,0.5119750523868474,0.6385187048317185,0.9321888986083311,,2
