dataset,strategy,budget_fraction,seed,accuracy,log_loss,macro_f1,balanced_acc,mcc,pr_auc,macro_auc,top2_accuracy,n_classes
covertype,stratified,0.5,2,0.8124,0.456487992298043,0.6942807994876897,0.6604219162171245,0.6966600975572376,0.7722538717760984,0.9696224728384671,0.9817,7
covertype,random,0.5,3,0.8184,0.4659512920960782,0.68463942830936,0.6621007554975245,0.7067559481406395,0.7612594697381301,0.9681651004579589,0.9766,7
covertype,stratified,0.5,3,0.8233,0.44392043170184986,0.6866559613224065,0.6466729604245579,0.713857148703701,0.7535357719057394,0.9698996333592248,0.9787,7
covertype,random,0.5,4,0.8285,0.44320621128905624,0.6689933682808158,0.6355321321283014,0.7207625823180662,0.7519189206930488,0.9697988570372418,0.9769,7
covertype,stratified,0.5,4,0.8247,0.44923666921080857,0.6987028789053579,0.6645241386109905,0.7152784758519742,0.7526241464347831,0.9688983102280548,0.9795,7
covertype,random,1.0,1,0.8398,0.3980328159518022,0.7300137913761363,0.691952168413051,0.7433121059694648,0.8118708937561305,0.977992545572412,0.9815,7
covertype,stratified,1.0,1,0.8367,0.39339744314918584,0.7343168995955309,0.6982676242645922,0.7393758406893467,0.8246335110705945,0.9778597634812011,0.9846,7
covertype,random,1.0,2,0.8505,0.3809857771018668,0.7236941575061321,0.6822251588646403,0.7578722835100293,0.8141017621357537,0.9795424327845944,0.9862,7
covertype,stratified,1.0,2,0.8066,0.49091480208707017,0.6428792544783036,0.627517195889298,0.6862474364009308,0.7605127639310538,0.9669487888197198,0.9821,7
covertype,random,1.0,3,0.8363,0.4007683074166354,0.7224224526640505,0.6998350834104671,0.735663522275609,0.8118032078741291,0.9757279843134085,0.9844,7
covertype,stratified,1.0,3,0.8564,0.36809536437099316,0.7412731232374277,0.7065075885403103,0.7679823445322619,0.8218076131698255,0.9791818416657357,0.9845,7
covertype,random,1.0,4,0.8485,0.3836450687367311,0.7158879987688586,0.6700473605835396,0.7541407557104515,0.8176381382060266,0.978690528652271,0.9845,7
covertype,stratified,1.0,4,0.8484,0.3801888485239284,0.7331278233615864,0.6957353473040758,0.7540942928477793,0.8060083365520399,0.9783791404135912,0.9853,7
bank-marketing,random,0.1,1,0.8989273471193188,0.24383569585824869,0.6689838154418914,0.6303687324887283,0.3862084621963912,0.554122410251506,0.8899639328466773,,2
bank-marketing,stratified,0.1,1,0.8984850160345018,0.22625445512271652,0.6955504717029569,0.6608661916897586,0.4148392825895677,0.5637224253513442,0.9079801092075998,,2
bank-marketing,random,0.1,2,0.9009178370009953,0.22407494880186762,0.708206785006998,0.6737230014216163,0.43673553757385636,0.5789024258612432,0.9114099806702785,,2
bank-marketing,stratified,0.1,2,0.9001437576025655,0.22570735189611296,0.7305858119479282,0.7077223598595191,0.46733728326815444,0.549976566619934,0.9139130198043828,,2
bank-marketing,random,0.1,3,0.8983744332632976,0.22693970196728533,0.6920461887157698,0.6567038504379076,0.41017623906365186,0.5442763671743495,0.9075808492530301,,2
bank-marketing,stratified,0.1,3,0.9032400751962845,0.23274094184905725,0.7272463540609386,0.696766503356364,0.46696031117898334,0.564418079901039,0.9102041516880066,,2
bank-marketing,random,0.1,4,0.8994802609753401,0.22359159512524493,0.6937158193546079,0.6573300245143008,0.4151479368225556,0.5671383594700347,0.9093721332413209,,2
bank-marketing,stratified,0.1,4,0.8997014265177485,0.22277694818568108,0.7138261684339695,0.6832835195481131,0.44175159517105095,0.5618457854687333,0.9119781537452667,,2
bank-marketing,random,0.25,1,0.9036824062811014,0.2206073307874211,0.723495936526238,0.6904574148361827,0.46271300480843064,0.5697444392341504,0.9153677796151337,,2
bank-marketing,stratified,0.25,1,0.9002543403737697,0.21829232292764855,0.7056293857211529,0.6712974350536747,0.4318956144549577,0.5646702448258454,0.9168470418897435,,2
bank-marketing,random,0.25,2,0.9052305650779608,0.21373207144890827,0.7271007510226084,0.6929739480808179,0.47072479260521455,0.6036312640943543,0.9214865301551941,,2
bank-marketing,stratified,0.25,2,0.9014707508570164,0.21652399551685308,0.7359145446502255,0.7138034097486663,0.4773257615147908,0.580320636092827,0.9213711199993371,,2
