dataset,strategy,budget_fraction,seed,brier,ece
nomao,random,1.0,4,0.057961404,0.00874702964314749
nomao,stratified,1.0,4,0.05767127,0.008227594433376425
nomao,coreset,1.0,4,0.05353318,0.00828306987205021
nomao,prototype,1.0,4,0.059597265,0.0063961066754747225
nomao,stratified_coreset,1.0,4,0.05423399,0.005761074057627385
connect-4,random,0.1,1,0.3685664,0.031007862043380748
connect-4,stratified,0.1,1,0.3739667,0.01835611661076545
connect-4,coreset,0.1,1,0.39873964,0.024384394124150253
connect-4,prototype,0.1,1,0.6675499,0.07604224370718002
connect-4,stratified_coreset,0.1,1,0.44432062,0.05873429526686667
connect-4,random,0.1,2,0.37128133,0.024703088915348045
connect-4,stratified,0.1,2,0.37910917,0.022060264092683784
connect-4,coreset,0.1,2,0.42556924,0.009934562742710136
connect-4,prototype,0.1,2,0.6287732,0.025551625704765317
connect-4,stratified_coreset,0.1,2,0.442846,0.03810167545080184
connect-4,random,0.1,3,0.39216572,0.04821759511232376
connect-4,stratified,0.1,3,0.37823802,0.02836236989200114
connect-4,coreset,0.1,3,0.41380703,0.0416944917023182
connect-4,prototype,0.1,3,0.623757,0.01346751876473427
connect-4,stratified_coreset,0.1,3,0.43978232,0.047935844784975076
connect-4,random,0.1,4,0.37501574,0.06805848297476767
connect-4,stratified,0.1,4,0.36965773,0.017557807618379603
connect-4,coreset,0.1,4,0.42223817,0.052436274003982555
connect-4,prototype,0.1,4,0.61880285,0.07151762842535975
connect-4,stratified_coreset,0.1,4,0.4275466,0.059035129305720316
connect-4,random,0.25,1,0.3408607,0.03020704488158228
connect-4,stratified,0.25,1,0.34551606,0.028179711887240423
connect-4,coreset,0.25,1,0.36201653,0.026068891984224327
connect-4,prototype,0.25,1,0.56084067,0.022918544378876686
connect-4,stratified_coreset,0.25,1,0.37751284,0.009889037388563138
connect-4,random,0.25,2,0.33643234,0.023357569232583062
connect-4,stratified,0.25,2,0.34238797,0.025504124402999873
connect-4,coreset,0.25,2,0.3552857,0.020062481620907766
connect-4,prototype,0.25,2,0.6535629,0.12094958402216435
connect-4,stratified_coreset,0.25,2,0.37900922,0.02359001566171644
connect-4,random,0.25,3,0.33736038,0.02210914016664026
connect-4,stratified,0.25,3,0.3412533,0.019889452680945392
connect-4,coreset,0.25,3,0.3664758,0.022700846636295298
connect-4,prototype,0.25,3,0.6021989,0.04884691133201122
connect-4,stratified_coreset,0.25,3,0.3792443,0.027977822750806798
connect-4,random,0.25,4,0.3445046,0.029902336412668252
connect-4,stratified,0.25,4,0.34058866,0.022587150686979286
connect-4,coreset,0.25,4,0.36262196,0.05118498482704162
connect-4,prototype,0.25,4,0.56324136,0.03539637257456778
connect-4,stratified_coreset,0.25,4,0.36607203,0.019841878056526166
connect-4,random,0.5,1,0.32224375,0.016420604228973373
connect-4,stratified,0.5,1,0.31947103,0.016081018662452706
connect-4,coreset,0.5,1,0.3245943,0.019923202908039093
connect-4,prototype,0.5,1,0.50608337,0.027693778717517846
connect-4,stratified_coreset,0.5,1,0.35305938,0.015354118102788942
connect-4,random,0.5,2,0.32485387,0.015895495092868802
connect-4,stratified,0.5,2,0.3248813,0.020970404285192496
connect-4,coreset,0.5,2,0.33248317,0.010457979151606577
connect-4,prototype,0.5,2,0.48965445,0.019743025434017167
